villageId,census_eth,census_rlg,census_employ,census_noAgri,census_poverty,census_pop,ocensus_eth,ocensus_edu,ocensus_employ,ocensus_noAgri,ocensus_messagesPer100,ocensus_cluster,ocensus_nCommercial,ocensus_pop,pg_pg,pg_elec,pg_roadtype,pg_nursery,pg_govprim,pg_govhealth,pg_watersource,pg_toilets,pg_lg,pg_savingsgroup,pg_farmersgroup,pg_center,pg_biergarten,pg_market,pg_market_crops,pg_field,pg_dryspace,pg_instruments,pg_bicycle,pg_church,pg_mtn,pg_orange,pg_airtel,elections_turnoutRegistered,elections_turnoutAdultPop,elections_winShare,distArua,distHealth,distSchool,design_ctyMeet,design_diagMeet
33,0.04197192192077637,0.0735822319984436,0.8134714961051941,0.09554140269756317,-0.22854162752628326,180,0.09147238731384277,0.43014705181121826,0.4681818187236786,0.4126984179019928,10.434782981872559,LOGIRI,1,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32114.817947,637.486059184,361.396207891,1,0
40,0.004376351833343506,0.1849510669708252,0.8968609571456909,0.16500000655651093,-0.4797310531139374,203,0.04352295398712158,0.3309352397918701,0.5519999861717224,0.05263157933950424,42.519683837890625,ODRAKA,0,127,-0.04069178178906441,0,0,0,0,0,1,0,1.2411632537841797,3,0,0,1,0,1,1,8,1,4,1,1,1,1,0.4105112850666046,0.3426876962184906,0.853688526327187,30124.303767,1607.81689469,3651.36966477,1,0
81,0.11488127708435059,0.33757108449935913,0.9519230723381042,0.5353535413742065,0.13327790796756744,295,0.020963549613952637,0.46086955070495605,0.33522728085517883,0.2933333218097687,74.7368392944336,VURRA,0,190,-0.20761510729789734,1,1,0,0,0,3,4,0.5758277773857117,3,1,1,0,1,0,0,5,1,2,0,1,1,1,0.26406431198120117,0.2723163068294525,0.6960352508881117,12628.1786927,278.106274127,569.395321314,1,0
41,0.035748422145843506,0.5947959423065186,1,0.10752688348293304,-0.48380741477012634,177,0.013355255126953125,0.40145984292030334,0.12711864709854126,0.46666666865348816,13.38582706451416,ODUBU,0,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46833.3039313,4136.3889177,3039.44581715,0,0
29,0.002735912799835205,0.05613434314727783,0.8069164156913757,0.0714285746216774,-0.4262041449546814,320,0,0.41489362716674805,0.4104803502559662,0.13445378839969635,39.76377868652344,ITIA,0,254,0.04249241203069687,0,1,0,1,0,0,0,0.24698534607887268,4,0,0,0,1,0,0,6,0,0,1,1,1,1,0.35820895433425903,0.337019145488739,0.7142856947647016,16257.4420182,1845.87948229,704.157227838,1,0
55,0.010666310787200928,0.3919958472251892,0.7740113139152527,0.20437955856323242,0.08942162245512009,161,0.007272660732269287,0.43089431524276733,0.33636364340782166,0.22448979318141937,116.36363983154297,OPIA,0,110,0.6890908479690552,1,1,1,1,0,2,11,0.026038087904453278,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0.19038815796375275,0.19461901485919952,0.3030303133296966,22595.6212567,896.620364181,155.64875465,0,0
13,0.35363727807998657,0.6327163577079773,0.8376237750053406,0.39716312289237976,0.22552700340747833,450,0.5618210434913635,0.5114753842353821,0.5208333134651184,0.9677419066429138,20.996440887451172,BONDO,1,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23265.6865692,1889.43177612,735.411578781,1,1
47,0.01599133014678955,0.1972721815109253,0.9480000138282776,0.4430379867553711,0.20736564695835114,230,0.010190963745117187,0.3989070951938629,0.03896103799343109,0.8333333134651184,3.7037036418914795,OLUKO ITALIA SOLIDAL,0,162,-0.471422016620636,0,1,0,0,0,2,0,-0.4064447283744812,3,1,0,0,0,0,0,2,0,0,0,1,1,1,0.14472123980522156,0.14068518579006195,0.741379294673644,6490.44787949,291.004175718,424.041734368,0,0
15,0.007380008697509766,0.23975306749343872,0.9285714030265808,0.6461538672447205,-0.4451167583465576,128,0.06355351209640503,0.4921875,0.22429905831813812,0.09756097197532654,13.913043022155762,BONDO,0,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24497.4517203,1150.68561592,1613.63776589,0,0
74,0.021420955657958984,0.07502949237823486,0.8857142925262451,0.0875576063990593,-0.2852403521537781,235,0,0.18589743971824646,0.40740740299224854,0,2.25563907623291,ST. LUKE,0,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33577.0157269,489.186685689,1122.25915468,0,0
48,0.011695683002471924,0.17339086532592773,0.8774703741073608,0.3468468487262726,-0.18643446266651154,236,0,0.35449734330177307,0.38461539149284363,0.012658228166401386,7.5471696853637695,OLUKO ITALIA SOLIDAL,0,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8785.7617542,1657.89338168,2378.94298094,1,0
69,0.020470917224884033,0.2667127847671509,0.8464567065238953,0.17209301888942719,0.03452147915959358,227,0.05786788463592529,0.48241207003593445,0.14965985715389252,1,11.695906639099121,ST. FRANCIS,0,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18261.0597887,0,739.470851744,1,1
